Date,News_header,Para
"December 18, 2019",NASA's Mars 2020 Rover Completes Its First Drive,"In a 10-plus-hour marathon, the rover steered, turned and drove in 3-foot (1-meter) increments over small ramps."
"December 10, 2019",NASA's Treasure Map for Water Ice on Mars,"A new study identifies frozen water just below the Martian surface, where astronauts could easily dig it up."
"December 10, 2019",Two Rovers to Roll on Mars Again: Curiosity and Mars 2020,"They look like twins. But under the hood, the rover currently exploring the Red Planet and the one launching there this summer have distinct science tools and roles to play."
"November 27, 2019",NASA's Briefcase-Size MarCO Satellite Picks Up Honors,"The twin spacecraft, the first of their kind to fly into deep space, earn a Laureate from Aviation Week & Space Technology."
"November 26, 2019",Global Storms on Mars Launch Dust Towers Into the Sky,"A Mars Dust Tower Stands Out Dust storms are common on Mars. But every decade or so, something unpredictable happens: a series of runaway storms break out, covering the entire planet in a dusty haze."
"November 21, 2019",NASA Updates Mars 2020 Mission Environmental Review,NASA and the Department of Energy have completed a more detailed risk analysis for the Mars 2020 rover launch from Florida.
"November 20, 2019",Two of a Space Kind: Apollo 12 and Mars 2020,"Apollo 12 and the upcoming Mars 2020 mission may be separated by half a century, but they share several goals unique in the annals of space exploration."
"November 15, 2019",Mars Scientists Investigate Ancient Life in Australia,Teams with NASA's Mars 2020 and ESA's ExoMars practiced hunting for fossilized microbial life in the Australian Outback in preparation for their Red Planet missions. 
"November 12, 2019",NASA's Mars 2020 Will Hunt for Microscopic Fossils,A new paper identifies a ring of minerals at the rover's landing site that are ideal for fossilizing microbial life.
"November 12, 2019","With Mars Methane Mystery Unsolved, Curiosity Serves Scientists a New One: Oxygen","For the first time in the history of space exploration, scientists have measured the seasonal changes in the gases that fill the air directly above the surface of Gale Crater on Mars. "
"November  7, 2019",NASA's Mars 2020 Heads Into the Test Chamber,"In this time-lapse video taken at JPL, engineers move the Mars 2020 rover into a large vacuum chamber for testing in Mars-like environmental conditions."
"November  7, 2019",Screening Soon: 'The Pathfinders' Trains Lens on Mars,"With the Mars 2020 mission ramping up, the documentary — the first of four about past JPL missions to the Red Planet to be shown at Caltech — tells a gripping backstory."
"November  6, 2019",InSight's 'Mole' Team Peers into the Pit,Efforts to save the heat probe continue.
"November  6, 2019",Common Questions about InSight's 'Mole',"There's a new plan to get InSight's ""mole"" moving again. The following Q&As with two members of the team answer some of the most common questions about the burrowing device, part of a science instrument called the Heat Flow and Physical Properties Package (HP3)."
"October 24, 2019",Mars 2020 Stands on Its Own Six Wheels,"In time-lapse video, taken at JPL, captures the first time NASA's Mars 2020 rover carries its full weight on its legs and wheels."
"October 24, 2019","New Selfie Shows Curiosity, the Mars Chemist",The NASA rover performed a special chemistry experiment at the location captured in its newest self-portrait.
"October 22, 2019",Naming a NASA Mars Rover Can Change Your Life,Want to name the robotic scientist NASA is sending to Mars in 2020? The student who named Curiosity — the rover currently exploring Mars — will tell you this is an opportunity worth taking.
"October 18, 2019",Mars 2020 Unwrapped and Ready for More Testing,"In time-lapse video, bunny-suited engineers remove the inner layer of protective foil on NASA's Mars 2020 rover after it was relocated for testing."
"October 16, 2019",HiRISE Views NASA's InSight and Curiosity on Mars,New images taken from space offer the clearest orbital glimpse yet of InSight as well as a view of Curiosity rolling along.
"October  7, 2019",NASA's Curiosity Rover Finds an Ancient Oasis on Mars,"New evidence suggests salty, shallow ponds once dotted a Martian crater — a sign of the planet's drying climate."
"October  4, 2019",NASA's Mars 2020 Rover Tests Descent-Stage Separation,A crane lifts the rocket-powered descent stage away from NASA's Mars 2020 rover after technicians tested the pyrotechnic charges that separate the two spacecraft.
"October  3, 2019",NASA's Push to Save the Mars InSight Lander's Heat Probe,The scoop on the end of the spacecraft's robotic arm will be used to 'pin' the mole against the wall of its hole.
